execucao,tempo_s,throughput_mbps,bytes
1,164.76931663899904,0.05091122650207382,1048576
2,174.69300450400078,0.04801914091418518,1048576
3,176.6871823720012,0.04747717342811226,1048576
4,175.67938324700117,0.047749530109664665,1048576
5,167.66127980900092,0.050033066725699994,1048576
6,190.7095627589988,0.043986299788232174,1048576
7,163.66081677999864,0.05125605606182696,1048576
8,183.69329967900012,0.0456663798552201,1048576
9,160.6609023630008,0.05221312638370843,1048576
10,173.66696741800115,0.04830284149437214,1048576
11,158.64264859899959,0.05287738243203347,1048576
12,173.66856229400037,0.048302397907797945,1048576
13,168.6505035859991,0.049739596512514646,1048576
14,168.6661230819991,0.04973499032714338,1048576
15,165.6625394319999,0.05063672227144207,1048576
16,167.67385768699933,0.05002931354784721,1048576
17,166.69155646500076,0.05032413265492129,1048576
18,164.72925994099933,0.050923606425504045,1048576
19,182.71529042400107,0.045910815567398684,1048576
20,177.7653036390002,0.04718923112822569,1048576
21,182.7989419530004,0.04588980609174862,1048576
22,162.73928899299972,0.05154629869595189,1048576
23,166.76100255600068,0.05030317563114307,1048576
24,167.7552074310006,0.05000505276982426,1048576
25,181.78246337600103,0.04614640952823322,1048576
26,157.7226424879991,0.05318581953531673,1048576
27,179.7609136049996,0.04666536140572159,1048576
28,178.7028295679993,0.04694166298473747,1048576
29,172.6919684759996,0.04857555376795553,1048576
30,178.68672846400113,0.04694589280417655,1048576
